식품명,칼로리,단백질,지방,탄수화물,당류,나트륨(mg),콜레스테롤(mg),포화지방산(g),트랜스지방산(g),탄수화물_cluster,단백질_cluster,지방_cluster,당류_cluster,칼로리_cluster
낙곱새,88,5.47,1.64,12.88,3.19,725,35.54,0.57,0.05,0,0,0,0,0
낙지찜,74,5.47,4.31,3.81,0.89,217,35.53,0.67,,0,0,0,0,0
낙지탕,31,4.9,0.53,1.73,0.32,284,48.74,0.07,0,0,0,0,0,0
낙지탕(맑은탕),16,3,0.16,0.8,0.26,142,6.92,0.02,,0,0,0,0,0
난자완스,188.3333333,8.836666667,12.38333333,10.03,0.663333333,355,44.4,4.003333333,0.12,0,1,1,0,1
내장전골,58,5.41,2.88,2.89,0.72,128,51.72,0.84,,0,0,0,0,0
내장탕,52,4.01,3.25,1.635,0.26,256.5,48.035,1.13,0.01,0,0,0,0,0
오이미역냉국,6,0.37,0.15,0.85,0.69,327,0,0.01,0,0,0,0,0,0
물냉면,72.33333333,2.53,0.65,13.90666667,2.486666667,235,12.50666667,0.18,0,1,0,0,0,0
비빔냉면,115.5,4.55,3.125,17.225,3.905,244,30,0.525,0.01,1,0,0,0,1
열무냉면,66,2.61,0.72,12.19,3.39,394,8.47,0.17,0,0,0,0,0,0
회냉면,148,5.81,4.02,22.21,2.84,99,8.88,0.27,0,1,0,0,0,1
냉이 된장국,16.5,1.525,0.4175,2.0025,0.4675,210,2.3775,0.07,,0,0,0,0,0
냉이나물,72,3.71,1.965,10.57,5.815,450,0.005,0.31,0.03,0,0,0,1,0
냉이초나물,77,4.2,2.47,12.32,2.92,261,0,0.41,,0,0,0,0,0
냉채_닭고기,90,13.08,1.95,5,4.8,151,46.32,0.5,0.01,0,1,0,0,0
냉채_해파리,61,4.13,0.93,8.93,7.6,339,26.89,0.2,0,0,0,0,1,0
넙치(광어)회덮밥,77,4.27,1.06,12.64,1.92,85,7.03,0.16,,0,0,0,0,0
넙치구이,116,13.6,6.33,0.03,0,615,25.28,0.91,,0,1,1,0,1
노각무침,45.6,1.586,1.552,7.33,3.638,751,0,0.234,0,0,0,0,0,0
녹두빈대떡,200.4,10.068,6.964,23.94,0.742,206.8,8.178,1.384,0.06,1,1,1,0,1
녹두전,92,5,4.223333333,8.41,0.183333333,22.66666667,3.386666667,0.726666667,,0,0,0,0,0
누룽지,87,1.5,0.06,19.17,0.24,1,0,0.02,,1,0,0,0,0
느타리버섯 구이,60,2.1,4.44,5.75,1.53,372,0,0.67,,0,0,0,0,0
느타리버섯무침,39,2.16,1.52,6.75,2.6,297,0,0.22,,0,0,0,0,0
느타리버섯볶음,66.33333333,2.136666667,4.753333333,4.683333333,1.726666667,283,0.39,0.623333333,0.02,0,0,0,0,0
느타리버섯튀김,212,5.933333333,12.72,17.94666667,0.313333333,556.6666667,92.68,2.31,,1,0,1,0,1
다슬기 된장국,22.66666667,2.1,0.676666667,2.56,0.42,130.6666667,1.566666667,0.08,,0,0,0,0,0
다시마무침,57.25,2.9675,2.8175,6.935,0.7225,1069.75,3.2575,0.455,0,0,0,0,0,0
다시마조림,60.5,3.1,3.37,6.99,0.965,509.5,0,0.515,,0,0,0,0,0
다시마튀각,313.3333333,3.646666667,22.81666667,25.77,11.05666667,780.6666667,0,3.42,0.32,1,0,2,1,2
다쿠아즈,447,8.33,26.65,43.39,38.13,51,39.99,12.93,0.23,2,1,2,2,2
단무지,13,0.33,0.2,2.4,0.47,552,0,0.03,0,0,0,0,0,0
단무지무침,32.8,0.828,1.378,4.472,1.46,599.2,0,0.212,0,0,0,0,0,0
단호박 샐러드,125,1.2,9.28,10.27,3.45,84,5.57,1.36,,0,0,1,0,1
단호박조림,80.33333333,2.5,1.056666667,17.24666667,4.99,922,0,0.186666667,,1,0,0,0,0
단호박찜,41,0.93,0.16,10.04,3.63,2,0,0.03,,0,0,0,0,0
달걀 샐러드,139.6666667,5.633333333,10.38333333,5.71,0.753333333,189.6666667,84.45,2.11,,0,0,1,0,1
달걀_삶은것,150,12.8,10.65,0.63,0.62,127,380.51,3.02,0.03,0,1,1,0,1
달걀국,21.33333333,1.825,1.145,0.863333333,0.208333333,218.3333333,43.88833333,0.375,0.005,0,0,0,0,0
달걀말이,176.75,12.4025,12.9575,1.46,0.51,676.5,272.675,3.1,0.08,0,1,1,0,1
달걀부침(달걀후라이),181.5,11.9225,12.7675,3.5075,0.15,269.75,293.135,3.25,0.1,0,1,1,0,1
달걀조림,90.25,7.4025,4.0225,5.3475,2.4,505.75,158.2575,1.3225,,0,1,0,0,0
달걀찜,119,11.1,7.01,1.66,0.62,871,255.67,2.19,,0,1,1,0,1
달걀튀김,256,10.2,16.26,14.74,0.58,121,190.8,3.31,,1,1,1,0,2
달걀후라이,181,11,13.105,3.06,0.195,262,290.895,3.235,,0,1,1,0,1
달래 된장국,38.5,3,1.85,2.56,0.795,188,3.835,0.46,,0,0,0,0,0
달래무침,67.6,2.538,2.656,9.1,3.962,412.6,0,0.384,0.01,0,0,0,0,0
달래무침_오이,52,1.6,1.8,8.73,3.92,829,0,0.3,,0,0,0,0,0
닭가슴살 샐러드,54,4,2.96,2.82,1.13,75,12.62,0.55,,0,0,0,0,0
닭강정,182.5,15.7,5.255,16.715,3.86,264.5,57.44,0.87,,1,1,0,0,1
닭고기 덮밥,97.5,5.2,0.63,16.855,0.8075,105.75,16.2575,0.1575,,1,0,0,0,0
닭고기 미역국,21,3.2,0.74,0.71,0.01,191,8.03,0.18,,0,0,0,0,0
닭고기 샐러드,95,7.333333333,5.983333333,2.936666667,0.766666667,382.3333333,19.92,0.903333333,,0,0,0,0,0
닭고기 탕수,95,7.4,3.15,8.8,2.66,60,41.01,0.64,,0,1,0,0,0
닭고기냉채,69.66666667,10.4,0.886666667,5.506666667,3.1,20,21.59333333,0.213333333,,0,1,0,0,0
닭고기육개장,35.25,3.8025,1.49,1.815,0.4075,132.5,14.005,0.3825,,0,0,0,0,0
닭곰탕,51.2,5.588,1.878,2.764,0.314,170.4,20.828,0.472,0,0,0,0,0,0
닭구이,131.6,15.892,5.532,3.854,1.02,364.6,57,1.47,0.05,0,1,0,0,1
닭꼬치구이,181,32.1,2.58,5.55,3.8,122,86.67,0.41,,0,2,0,0,1
닭날개구이,171.5,16.3925,9.76,3.0725,1.425,212.75,81.24,2.8325,,0,1,1,0,1
닭다리구이,153.5,14.3375,9.4825,1.4125,0.4625,303.5,62.36,3.0275,,0,1,1,0,1
닭다리조림,180.5,14,8.865,9.16,3.22,154.5,55.27,2.665,,0,1,1,0,1
닭도리탕,91.25,7.7075,3.685,6.84,2.1375,206.5,25.6975,0.9425,,0,1,0,0,0
닭모래집볶음,124,18.15,4.04,3.32,2.04,261.5,224.075,0.855,0.02,0,1,0,0,1
닭모래집튀김,312,18.73,17.73,19.4,1.2,215,167.94,2.73,0.13,1,2,2,0,2
닭발구이,196,18.15,9.41,9.7,0.31,827,81.85,2.58,0.06,0,1,1,0,1
닭발볶음,186,13.8,9.38,11.72,6.37,974,412.79,2.2,0.1,0,1,1,1,1
닭백숙,79,7.165,1.4,8.635,0.36,284,19.385,0.345,,0,0,0,0,0
닭볶음,137,14.7,3.01,12.63,3.65,270,36.48,0.48,,0,1,0,0,1
닭볶음(닭갈비),155.3333333,12.56,6.108333333,12.41333333,3.78,317,43.34666667,1.405,0.06,0,1,1,0,1
닭볶음탕,111,11.91,3.22,8.52,0.42,376,42.44,1.19,0.03,0,1,0,0,1
곱도리탕,107,6.66,4.21,10.62,4.29,359,45.41,1.08,0.06,0,0,0,0,0
닭조림,122.4,11.142,5.286,7.292,1.95,254.8,38.924,1.336,0.07,0,1,0,0,1
닭죽,108,6.376,1.83,15.772,0.752,218,15.522,0.468,0.01,1,0,0,0,0
닭찜,125,10.99,5.763333333,6.873333333,1.98,284.6666667,46.28666667,1.3,0.02,0,1,0,0,1
닭튀김,192.8,16.126,9.708,8.88,0.18,291.4,58.406,2.02,0.13,0,1,1,0,1
양념닭튀김,186.8,13.57,7.674,15.382,4.64,384.4,45.972,1.42,0.1,1,1,1,0,1
당근볶음,95,0.93,6.63,7.79,4.5,216,0,1.1,0.01,0,0,1,0,0
대구 매운탕,41,6.7,0.53,2.72,1.1,200,39.92,0.08,,0,0,0,0,0
대구볼찜,45,4.23,1.23,5.37,1.09,143,12.08,0.21,,0,0,0,0,0
대구지리,22.75,4,0.3025,1.23,0.1525,211.5,11.4475,0.0475,,0,0,0,0,0
대구찜,63,8.98,1.313333333,3.86,1.06,240,33.92,0.193333333,0,0,1,0,0,0
대구탕,45,4.7,0.89,5.03,1.34,285,8.89,0.16,,0,0,0,0,0
대구튀김,285,27,12.5,13.28,0.02,1367,133.8,2.1,,0,2,1,0,2
대구포,141,31.97,0.4,2.33,0,3876,107.15,0.17,0,0,2,0,0,1
소대창구이,595,9.11,60.25,4.05,1.13,126,51.05,25.6,2.47,0,1,2,0,2
대합 미역국,7,0.75,0.23,0.62,0.04,99.5,2.065,0.03,,0,0,0,0,0
대합죽,121,2.85,3.19,19.185,0.135,211,4.545,0.49,,1,0,0,0,1
더덕구이,151,2.886666667,3.56,28.33333333,9.873333333,543.6666667,0.04,0.533333333,0,1,0,0,1,1
더덕무침,107.75,2.19,2.01,21.2325,7.7175,772.75,0.0325,0.305,0,1,0,0,1,0
더덕장아찌,129.5,3.235,2.98,23.2,10.105,2699.5,0,0.5,0,1,0,0,1,1
낙지덮밥,150,5.88,3.34,24.12,2.16,212,32.45,0.37,0.01,1,0,0,0,1
닭고기덮밥,125,11.4,2.18,14.82,1.07,153,92.29,0.79,0.01,1,1,0,0,1
제육덮밥,202,9.43,10.77,16.86,1.98,174,27.94,3.42,0.05,1,1,1,0,1
불고기덮밥,182,6.6,5.31,26.96,0.07,253,15.83,1.4,0.24,1,0,0,0,1
송이버섯덮밥,97,3.04,2.34,15.93,0.38,280,8.03,0.46,0.02,1,0,0,0,0
오징어덮밥,135,7.18,2.01,21.94,0.66,162,46.44,0.24,0,1,0,0,0,1
유산슬덮밥,105,4.9,3.46,13.44,0.08,287,21.98,0.62,0.02,1,0,0,0,0
장어덮밥,179,7.52,5.74,24.34,1.4,230,58.64,1.29,0.06,1,1,0,0,1
참치덮밥,136,5.84,3.35,20.59,0.6,324,23.16,0.68,0.02,1,0,0,0,1
해물덮밥,110,6.01,3.21,14.35,0.17,258,40.89,0.77,0.03,1,0,0,0,1
도가니탕,40,8.35,0.33,0.82,0,150,18.34,0.13,0.01,0,1,0,0,0
도넛,425,4.11,19.18,58.9,28.77,219,8.22,9.59,0,2,0,2,2,2
도다리구이,153,23.7,5.5,0.71,0,1039,118.52,0.84,,0,2,0,0,1
도라지나물,57.75,1.05,3.0975,6.93,0.6175,413.75,0,0.4575,,0,0,0,0,0
도라지나물무침,130,2.48,7.52,13.12,0.9,411,0,1,0.04,0,0,1,0,1
도라지생채,81,1.968333333,0.85,17.53166667,6.588333333,404.8333333,0.323333333,0.156666667,0,1,0,0,1,0
도라지튀김,170,5.45,8.24,17.975,1.01,466,77.91,1.585,,1,0,1,0,1
도루묵조림,102,11.25,3.085,5.62,1.615,255,62.99,0.665,,0,1,0,0,0
도루묵찌개,63,6.8,2.31,4.04,1.3,62,29.17,0.45,,0,0,0,0,0
도미 매운탕,47,5.9,1.13,3.37,1.08,351,18.38,0.23,,0,0,0,0,0
도미찜,52,7.9,0.91,3.22,0.92,85,24.37,0.15,,0,1,0,0,0
도미튀김,301,25.9,12.22,18.9,0.02,1720,137.43,2.3,,1,2,1,0,2
도토리묵무침,55.25,0.575,0.61,11.8475,0.08,171.25,0,0.0975,,0,0,0,0,0
고구마돈가스,317,12.34,19.51,23.05,6.22,288,23.93,3.75,0.13,1,1,2,1,2
등심돈가스,312,16.5,18.77,19.24,1.83,287,49.08,4.56,0.13,1,1,2,0,2
안심돈가스,326,16.64,21.2,17.13,1.39,276,52.74,4.27,0.12,1,1,2,0,2
치즈돈가스,302,16.81,18.68,16.71,1.43,348,39.52,5.44,0.18,1,1,2,0,2
돌나물,36.66666667,0.92,0.783333333,7.46,3.603333333,191,0,0.126666667,,0,0,0,0,0
돌나물무침,44.5,1.215,1.2825,7.7575,4.0925,216,0,0.2075,0.06,0,0,0,0,0
돌솥 비빔밥,101,3.4,1.78,17.46,1.05,93,26.99,0.42,,1,0,0,0,0
동치미,12.5,0.39,0.22,2.18,1.32,442,0,0.01,0,0,0,0,0,0
동태 매운탕,25,3.3,0.5,1.98,0.54,184,7.8,0.08,,0,0,0,0,0
동태국,22,3.344,0.274,1.552,0.394,247.2,11.622,0.038,0,0,0,0,0,0
동태까스,273,11.6,15.64,19.42,2.61,385,53.42,2.52,,1,1,1,0,2
동태양념구이,130,21.7,3.56,1.59,0.29,641,77.15,0.47,,0,2,0,0,1
동태전,178.8,13.764,10.088,6.884,0.088,357.4,105.542,1.672,0.06,0,1,1,0,1
동태조림,96.66666667,15.06,1.583333333,5.44,2.173333333,547.6666667,60.37333333,0.276666667,0.08,0,1,0,0,0
동태찌개,32.2,4.252,0.614,2.58,0.836,217,13.928,0.092,0.01,0,0,0,0,0
동태찜,64.5,8.89,1.485,3.955,1,301.5,40.49,0.23,0.02,0,1,0,0,0
동태튀김,146.5,10.7,7.185,8.3,0.015,819,57.325,1.165,,0,1,1,0,1
동파육,191,8.99,15.41,4.15,0.74,299,31.6,4.4,0.1,0,1,1,0,1
돼지갈비강정,313,19.4,15.705,20.55,3.82,520.5,71.68,4.635,,1,2,1,0,2
돼지갈비구이,149,9.6,8.925,6.65,3.5275,245.75,38.21,2.415,,0,1,1,0,1
돼지갈비전골,227,16.6,15.14,5.07,3.24,332,66.63,3.99,,0,1,1,0,1
돼지갈비찜,150.8,11.058,8.868,5.842,1.858,284.8,41.458,2.486,0.13,0,1,1,0,1
돼지고기 꼬치구이,176.3333333,27.16666667,5.486666667,2.796666667,1.73,118,61.81333333,1.883333333,,0,2,0,0,1
돼지고기 덮밥,166.5,7.96,2.92,26.04,1.97,142,22.6,0.91,,1,1,0,0,1
돼지고기 스테이크,147,17.725,4.5975,7.2825,3.2775,487.25,38.3025,1.37,,0,1,0,0,1
돼지고기 장조림,135,14.05,5.565,5.88,1.905,609,83.975,1.945,,0,1,0,0,1
돼지고기 피망잡채,93,9.6,3.725,5.095,2.08,267,26.425,1.025,,0,1,0,0,0
돼지고기 간,164,29.36,4.44,1.56,0.2,62,386.25,1.83,0.03,0,2,0,0,1
돼지고기 머리고기,325,21.2,26,1.75,0.05,167,85.55,7.6,0.2,0,2,2,0,2
돼지고기 허파,91,17.27,2.41,0.02,0,85,398.97,1.1,0.01,0,1,0,0,0
돼지고기강정,175,14.675,8.61,8.325,1.915,504.5,59.2525,1.8725,,0,1,1,0,1
제육볶음,195,12.15,14.19,4.73,0.38,501,45.6,4.18,0.06,0,1,1,0,1
돼지고기 숙주 볶음,145,7.46,8.78,9.05,5.96,350,21.96,2.33,0.05,0,1,1,1,1
김치제육,114.6,9.442,5.87,5.65,2.87,340.4,26.302,1.788,0.06,0,1,0,0,1
오삼불고기,122,9.7725,6.355,6.54,2.965,241,64.66,2.2575,,0,1,1,0,1
돼지고기찌개,54.25,4.6325,2.7325,2.675,0.5275,176,10.6775,0.935,0,0,0,0,0,0
돼지고기 짜글이,108,10.46,4.64,6.04,4.68,505,27.12,1.38,0.01,0,1,0,0,0
돼지고기고추장찌개,49,4.32,1.13,5.28,2.57,461,6.01,0.38,0,0,0,0,0,0
돼지고기찜,109,10.82,3.25,8.89,2.09,220,31.97,1.13,,0,1,0,0,0
돼지고기튀김,222,20.9,11.67,6.24,0.02,513,85.78,2.72,,0,2,1,0,1
돼지껍데기구이,348,23.74,26.64,3.37,3.42,475,35.76,9.08,0.58,0,2,2,0,2
돼지등갈비찜,214,16.02,10.93,12.76,5.36,532,44.35,3.58,0.07,0,1,1,1,1
돼지등심 장조림,114,15.7,2.665,4.995,3.29,412,33.76,0.955,,0,1,0,0,1
돼지머리국밥,70,2.15,1.32,11.79,0.315,121.5,6.05,0.495,,0,0,0,0,0
돼지불고기_간장,82.66666667,8.69,3.33,4.263333333,1.883333333,190,24.24333333,1.11,,0,1,0,0,0
돼지사태찜,102,9.525,3.19,8.5025,2.9825,238.25,29.2975,1.135,,0,1,0,0,0
된장국,32.5,1.36,0.82,4.905,0.91,344.5,0.13,0.05,0,0,0,0,0,0
된장찌개,46,3.49,1.415,5.035,0.51,329.5,1.13,0.235,0,0,0,0,0,0
두릅무침,74,3.4,2.58,11.6,3.83,1476,0,0.42,,0,0,0,0,0
두부 달걀찜,88,7.4,4.913333333,3.206666667,0.54,170.6666667,58.85666667,1.003333333,,0,1,0,0,0
두부 달걀탕,39.66666667,4.033333333,1.823333333,1.68,0.3,138.6666667,37.24666667,0.423333333,,0,0,0,0,0
두부 된장국,25.75,2.35,0.9725,2.035,0.4325,234.5,1.4575,0.15,,0,0,0,0,0
두부 명란찌개,33,3.5,1.07,2.72,0.66,238,26.41,0.16,,0,0,0,0,0
두부 애호박찌개,27,2,0.62,3.6,0.88,61,4.84,0.11,,0,0,0,0,0
두부 청국장찌개,39,3.5,0.95,4.34,0.83,220,0.02,0.15,,0,0,0,0,0
두부 탕수,119.6666667,4.4,4.663333333,14.76,3.223333333,323.6666667,0,0.696666667,,1,0,0,0,1
두부국,25,2.15,1.235,1.25,0.26,199.5,2.65,0.265,,0,0,0,0,0
두부김치,99.25,6.7975,5.7525,4.8625,0.92,382.25,1.3925,0.9225,0.03,0,0,0,0,0
두부냉채,83,8.5,3.55,4.456666667,1.266666667,298,8.776666667,0.826666667,,0,1,0,0,0
돼지고기두부볶음,197,12.4,10.52,13.12,3.68,246,10.36,1.77,,0,1,1,0,1
두부부침,158.3333333,12.04166667,10.235,4.01,0.095,272.5,0.725,1.526666667,0.04,0,1,1,0,1
두부전,158.8,10.714,9.72,6.244,0.016,218.2,24.106,1.512,0.03,0,1,1,0,1
두부전골,52,4.455,2.49,3.145,0.57,219.5,1.39,0.37,0,0,0,0,0,0
두부조림,139.6,10.508,7.124,8.344,2.49,344.4,0,1.058,0.02,0,1,1,0,1
두부찌개,30,2.3,0.79,3.75,1.02,202,1.58,0.13,,0,0,0,0,0
두부튀김,125,6.55,6.345,9.9075,0.8675,270,20.5075,1.0375,,0,0,1,0,1
들깨국,14.66666667,0.63,0.763333333,1.586666667,0.396666667,145,0,0.066666667,,0,0,0,0,0
들깨죽,153.5,3.75,5.865,21.325,0.255,630.5,0,0.625,,1,0,0,0,1
들깻잎장아찌,124,4.03,0.42,26,16.41,1809,0,0.06,0,1,0,0,1,1
땅콩조림,319.25,13.6625,23.3475,16.9475,5.9075,386.75,0,4.11,0.05,1,1,2,1,2
땅콩죽,136.3333333,3.733333333,3.326666667,22.61,0.436666667,165,0,0.64,,1,0,0,0,1
떡갈비,202,21.38,11.82,2.46,0.4,404,68.04,4.29,0.42,0,2,1,0,1
떡강정,219.5,2.8975,5.155,40.375,3.7825,336.75,0,0.88,0.05,2,0,0,0,1
떡국,84,3.43,0.53,16.37,0.08,176,16.7,0.24,0,1,0,0,0,0
떡만두국,82.2,2.76,1.894,13.56,0.118,195.2,12.376,0.484,0.015,1,0,0,0,0
떡볶이,201,3.905,3.29,39.675,6.545,532,1.17,0.46,0.01,2,0,0,1,1
궁중식 떡볶이,167,5.27,5.54,24,4.75,366,8.17,1.25,0.04,1,0,0,0,1
로제 떡볶이,184,4.37,5.1,30.25,4.12,498,60.13,3.13,0.02,1,0,0,0,1
떡산적,181.25,8.25,7.095,21.23,2.9725,422.25,32.06,1.7625,,1,1,1,0,1
돈코츠라멘,98,4.14,6.42,5.87,0.77,377,20.85,1.23,0.01,0,0,1,0,0
미소라멘,89,4.57,2.77,11.36,1.1,388,20.91,0.54,0,0,0,0,0,0
소유라멘,72,3.65,2.36,9.12,0.84,420,20.67,0.77,0,0,0,0,0,0
시오라멘,84,4.68,2.13,11.54,0.93,292,23.31,0.53,0,0,0,0,0,0
라면,115.6,2.584,3.772,17.402,0.016,131,10.708,1.672,0.01,1,0,0,0,1
비빔라면,189,3.38,5.67,31.01,1.81,375,0,2.51,0.03,1,0,0,0,1
짜장라면,177,3.66,4.28,31,0.63,306,0,1.69,0.03,1,0,0,0,1
짬뽕라면,92,2.84,3.51,12.27,0.21,333,14.23,1.15,0.01,0,0,0,0,0
라볶이,118.3333333,2.243333333,3.753333333,18.83,1.25,196.6666667,0.84,1.35,0.03,1,0,0,0,1
라조기,170.6666667,11.27666667,7.69,14.04666667,1.943333333,273.6666667,42.12666667,1.466666667,0.08,1,1,1,0,1
런천미트구이,303.6,20.792,20.096,9.534,1.412,1062,68.23,6.262,0.16,0,2,2,0,2
베이컨버섯크림리조또,187,3.11,12.29,15.9,2.09,253,9.86,6.24,0.05,1,0,1,0,1
쉬림프로제리조또,176,3.35,9.77,18.57,3.84,299,11.6,6.23,0.04,1,0,1,0,1
마늘빵,438,12.06,17.58,57.94,7.36,519,26.68,8.66,0.18,2,1,2,1,2
마늘장아찌,113,2.43,0.16,25.36,15.03,1127,0,0.04,0,1,0,0,1,1
마늘장아찌무침,99,1.88,0.7,21.85,11.66,805,0,0.12,,1,0,0,1,0
마늘쫑무침,76.5,2.265,1.98,14.315,6.43,452.75,1.4775,0.2975,0.03,1,0,0,1,0
마늘쫑볶음,70.5,2.275,2.73,9.5,3.615,387,0,0.405,0.01,0,0,0,0,0
마늘쫑장아찌,118,1.96,0.14,27.34,13.02,1410,0,0.04,0,1,0,0,1,1
마늘쫑장아찌무침,79,1.3,0.58,17.725,8.315,706,0,0.1,,1,0,0,1,0
마늘쫑조림,217,4.9,10.6,31.38,10.19,956,0,1.62,,1,0,1,1,1
마라탕,66,3.91,3.27,5.1,0.26,358,4.99,0.6,0.01,0,0,0,0,0
마카로니 샐러드,128.75,2.8,7.4175,12.355,2.2575,155,10.4675,1.2025,,0,0,1,0,1
마카롱,480,6.92,30.11,45.23,41.94,47,26.1,14.96,0.26,2,0,2,2,2
마파두부,135.8,8.258,7.808,7.956,2.09,298,6.554,1.292,0.03,0,1,1,0,1
고기만두,183.5,10.88,5.515,22.595,0.325,233.5,13.63,1.51,0.025,1,1,0,0,1
군만두,234,7.03,11.5,25.57,2.77,385,9.49,3.28,0.06,1,0,1,0,1
김치만두,169.5,9.185,5.675,20.42,0.51,408,15.475,1.235,0.01,1,1,0,0,1
물만두,195,8.06,11.13,15.61,2.13,332,12.13,3.08,0.05,1,1,1,0,1
만두국,62,3.06,2.49,6.83,0.44,338,13.5,0.61,0.01,0,0,0,0,0
만두전골,57,3.61,2.23,5.55,0.7,250,5.84,0.55,0.01,0,0,0,0,0
만두탕수,89,2.925,3.6125,11.2,1.705,163.5,2.145,0.955,,0,0,0,0,0
맛살전,217.2,9.896,7.004,27.658,3.204,904.4,49.88,1.266,0.06,1,1,1,0,1
망둥어찌개,44,5.9,0.85,3.4,1.08,483,21.55,0.13,,0,0,0,0,0
망둥어찜,52,8.5,0.7,2.96,0.68,202,36.7,0.12,,0,1,0,0,0
